"A";"P";"L";"SW";"k";"iterations";"time";"improvements";"minimums";"updates";"aspirations";"conflicts";"guidance";"score";"final_conflicts";"final_guidance";"final_score"
"0";"0";"0.1";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"0";"0.4";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"0";"0.7";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"0";"1.0";"1";"12";"406";"0";"38";"9";"106";"0";"32";"0";"320";"0";"0";"0"
"0";"0";"1.3";"1";"12";"523";"0";"38";"3";"90";"0";"31";"1";"323";"0";"0";"0"
"0";"0";"1.6";"1";"12";"523";"0";"38";"3";"90";"0";"31";"1";"326";"0";"0";"0"
"0";"0";"1.9";"1";"12";"523";"0";"38";"3";"90";"0";"31";"1";"329";"0";"0";"0"
"0";"0";"2.2";"1";"12";"1163";"1";"38";"24";"237";"0";"31";"1";"332";"0";"0";"0"
"0";"0";"2.5";"1";"12";"1163";"0";"38";"24";"237";"0";"31";"1";"335";"0";"0";"0"
"0";"0";"2.8";"1";"12";"1163";"0";"38";"24";"237";"0";"31";"1";"338";"0";"0";"0"
"0";"0";"3.1";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"341";"0";"0";"0"
"0";"0";"3.4";"1";"12";"907";"1";"38";"12";"174";"0";"31";"1";"344";"0";"0";"0"
"0";"0";"3.7";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"347";"0";"0";"0"
"0";"0";"4.0";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"350";"0";"0";"0"
"0";"0";"4.3";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"353";"0";"0";"0"
"0";"0";"4.6";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"356";"0";"0";"0"
"0";"0";"4.9";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"359";"0";"0";"0"
"0";"0";"5.2";"1";"12";"907";"1";"38";"12";"174";"0";"31";"1";"362";"0";"0";"0"
"0";"0";"5.5";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"365";"0";"0";"0"
"0";"0";"5.8";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"368";"0";"0";"0"
"0";"0";"6.1";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"371";"0";"0";"0"
"0";"0";"6.4";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"374";"0";"0";"0"
"0";"0";"6.7";"1";"12";"907";"1";"38";"12";"174";"0";"31";"1";"377";"0";"0";"0"
"0";"0";"7.0";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"380";"0";"0";"0"
"0";"0";"7.3";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"383";"0";"0";"0"
"0";"0";"7.6";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"386";"0";"0";"0"
"0";"0";"7.9";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"389";"0";"0";"0"
"0";"0";"8.2";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"392";"0";"0";"0"
"0";"0";"8.5";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"395";"0";"0";"0"
"0";"0";"8.8";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"398";"0";"0";"0"
"0";"0";"9.1";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"401";"0";"0";"0"
"0";"0";"9.4";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"404";"0";"0";"0"
"0";"0";"9.7";"1";"12";"907";"0";"38";"12";"174";"0";"31";"1";"407";"0";"0";"0"
"0";"1";"dynamic";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"0.1";"1";"12";"203";"1";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"0.4";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"0.7";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"1.0";"1";"12";"229";"0";"38";"0";"23";"0";"32";"0";"320";"0";"0";"0"
"0";"1";"1.3";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"1.6";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"1.9";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"2.2";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"2.5";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"2.8";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"3.1";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"3.4";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"3.7";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"4.0";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"4.3";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"4.6";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"4.9";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"5.2";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"5.5";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"5.8";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"6.1";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"6.4";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"6.7";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"7.0";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"7.3";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"7.6";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"7.9";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"8.2";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"8.5";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"8.8";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"9.1";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"9.4";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"0";"1";"9.7";"1";"12";"260";"0";"38";"0";"30";"0";"31";"0";"310";"0";"0";"0"
"1";"0";"0.1";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"1";"0";"0.4";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"1";"0";"0.7";"1";"12";"203";"0";"37";"0";"14";"0";"31";"0";"310";"0";"0";"0"
"1";"0";"1.0";"1";"12";"406";"0";"38";"9";"106";"0";"32";"0";"320";"0";"0";"0"
"1";"0";"1.3";"1";"12";"523";"1";"38";"3";"90";"0";"31";"1";"323";"0";"0";"0"
"1";"0";"1.6";"1";"12";"523";"0";"38";"3";"90";"0";"31";"1";"326";"0";"0";"0"
"1";"0";"1.9";"1";"12";"523";"0";"38";"3";"90";"0";"31";"1";"329";"0";"0";"0"
