"init";"source";"destination";"k";"time";"iterations";"conflicts";"hits"
"Bipartite";"Minimal";"Minimal";"0.2391304347826087";"0.17028985507246377";"0.5310981019047681";"0.6959911986429282";"23"
"Bipartite";"Minimal";"Maximum";"0.2391304347826087";"0.13043478260869565";"0.5025113942597832";"0.7652590209181721";"23"
"Bipartite";"Minimal";"Median";"0.2608695652173913";"0.07246376811594202";"0.46221319973992087";"0.7282977978008972";"23"
"Bipartite";"Maximum";"Minimal";"0.2391304347826087";"0.12536231884057972";"0.49152487475101586";"0.7693264636503477";"23"
"Bipartite";"Maximum";"Maximum";"0.2391304347826087";"0.18478260869565216";"0.641205716535429";"0.8589898595403939";"23"
"Bipartite";"Maximum";"Median";"0.2391304347826087";"0.1644927536231884";"0.5453855039417916";"0.7986927957632237";"23"
"Bipartite";"Median";"Minimal";"0.2391304347826087";"0.16014492753623188";"0.485292873398743";"0.7303268604933816";"23"
"Bipartite";"Median";"Maximum";"0.2391304347826087";"0.15434782608695652";"0.5142355454537291";"0.8001717625396059";"23"
"Bipartite";"Median";"Median";"0.29545454545454547";"0.10681818181818183";"0.5180561473648527";"0.7197924661491215";"22"
"Greedy";"Minimal";"Minimal";"0.2391304347826087";"0.07608695652173914";"0.13506029486397644";"0.022000269270078202";"23"
"Greedy";"Minimal";"Maximum";"0.21739130434782608";"0.1440993788819876";"0.1547340308053932";"0.03141306301905836";"23"
"Greedy";"Minimal";"Median";"0.2391304347826087";"0.10144927536231883";"0.1412616409752875";"0.021105701537635718";"23"
"Greedy";"Maximum";"Minimal";"0.2391304347826087";"0.14565217391304347";"0.16036416437438905";"0.03174404228425952";"23"
"Greedy";"Maximum";"Maximum";"0.2391304347826087";"0.05652173913043478";"0.14203888106240162";"0.09364755426548055";"23"
"Greedy";"Maximum";"Median";"0.25";"0.14545454545454548";"0.18779430430808858";"0.06553009752642298";"22"
"Greedy";"Median";"Minimal";"0.2391304347826087";"0.07536231884057971";"0.14836665718731473";"0.02350837371976934";"23"
"Greedy";"Median";"Maximum";"0.2608695652173913";"0.08695652173913043";"0.11569367038339046";"0.059508311535094754";"23"
"Greedy";"Median";"Median";"0.2391304347826087";"0.19347826086956524";"0.15808541273506754";"0.049258377797742225";"23"
"Random";"Minimal";"Minimal";"0.21739130434782608";"0.06459627329192547";"0.3284764604053731";"0.13233174208930507";"23"
"Random";"Minimal";"Maximum";"0.2608695652173913";"0.13768115942028986";"0.3116639748345175";"0.1609196047165844";"23"
"Random";"Minimal";"Median";"0.2826086956521739";"0.07608695652173914";"0.2683784055681243";"0.12990422832458443";"23"
"Random";"Maximum";"Minimal";"0.2608695652173913";"0.13043478260869565";"0.3417394847737773";"0.1616726554783643";"23"
"Random";"Maximum";"Maximum";"0.2608695652173913";"0.13043478260869565";"0.37527765226804244";"0.20718320937641832";"23"
"Random";"Maximum";"Median";"0.2391304347826087";"0.07391304347826087";"0.3334058811568981";"0.18637458901454648";"23"
"Random";"Median";"Minimal";"0.2391304347826087";"0.06521739130434782";"0.2994773809574694";"0.1373710963660814";"23"
"Random";"Median";"Maximum";"0.2391304347826087";"0.08747412008281573";"0.3482813291129833";"0.18735878302085113";"23"
"Random";"Median";"Median";"0.2391304347826087";"0.05434782608695652";"0.3917725373121998";"0.1630616695203936";"23"
"Scratch";"";"";"0.2608695652173913";"0.30693581780538304";"0.7171085445667955";"0.6996606251443387";"23"
